code,company,industry,listing_date,market_cap,market_cap_as_at,registry,registry_raw,registry_address,registry_phone,registry_since
10X,EXULTANT MINING LIMITED,Materials,2025-12-11,5236000,2026-09-01,Xcend,XCEND PTY LTD,"Level 2,, 477 Pitt Street, HAYMARKET, NSW, AUSTRALIA, 2000",61 2 8591 8509,2026-08-07
14D,1414 DEGREES LIMITED,Capital Goods,2018-09-12,42827388,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 5, 115 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",08 8236 2300,2026-08-07
1AD,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2016-08-22,9636507,2026-08-07,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-07
1AE,AURORA ENERGY METALS LIMITED,Materials,2022-05-18,9848506,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"Level 12 QV1 Building, 250 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 554 474,2026-08-07
1AI,ALGORAE PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2004-09-01,20275710,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"LEVEL 5, 191 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,2026-08-07
1CG,ONE CLICK GROUP LIMITED,Capital Goods,2017-04-28,11765575,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-07
1MC,MORELLA CORPORATION LIMITED,Materials,2001-01-08,13252632,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"Level 12 QV1 Building, 250 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 554 474,2026-08-07
1TT,THRIVE TRIBE TECHNOLOGIES LIMITED,Software & Services,2015-07-09,7879928,2026-09-01,Boardroom,BOARDROOM PTY LIMITED,"LEVEL 8, 210 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,2026-08-07
29M,29METALS LIMITED,Materials,2021-07-02,665029087,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
360,LIFE360 INC.,Software & Services,2019-05-10,4947995525,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 4, 44 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,2026-08-07
3DA,AMAERO INC.,Capital Goods,2019-12-06,247865072,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 1, 200 Mary Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 552 270,2026-08-07
3DP,POINTERRA LIMITED,Software & Services,2008-03-27,23332289,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-07
